Sponsor Submitted Date,Proposal State,Principal Investigator,Last Name,First Name,Lead Department,Proposal Title,Prime Sponsor,Proposal Requested Total Amt,CO PI Name
7/12/2019,Not Funded,Craig Ferguson,Ferguson,Craig,010 Atmospheric Sciences Research Center,Using SMAP to enhance understanding and modeling of elevated heat sources within a North American S2S prediction framework,NASA Headquarters,558177,Lance Bosart
7/15/2019,Not Funded,Alex Valm,Valm,Alex,010 Biology,CAREER: Multispectral imaging to uncover principles of meso-scale structure and assembly in multi-species microbial biofilms,National Science Foundation,855900,
7/15/2019,Not Funded,Igor Lednev,Lednev,Igor,010 Chemistry,Alzheimer's disease diagnostics based on Raman spectroscopy of blood,National Institutes of Health,405698,
7/15/2019,Not Funded,Paul Roundy,Roundy,Paul,010 Atmospheric and Environmental Sciences,Improving MPAS to test the significance of the nontraditional Coriolis terms in tropical large-scale dynamics,National Science Foundation,100000,
7/16/2019,Awarded,Daphney-Stavroula Zois,Zois,Daphney-Stavroula,010 Electrical & Comp Engr,CAREER: Towards Optimized Operation of Cost-Constrained Complex Cyber-Physical-Human Systems,National Science Foundation,567883,
7/16/2019,Not Funded,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Role of a Sexually Dimorphic Brain Region in Postpartum Stress-Related Functions,National Science Foundation,883009,
7/16/2019,Not Funded,Jan Halamek,Halamek,Jan,010 Chemistry,CAREER: Biosensing enhancement via biocatalytic cascades and DNA-based scaffolds,National Science Foundation,535964,
7/16/2019,Not Funded,Kyoung-Yeol Kim,Kim,Kyoung-Yeol,010 Envir & Sust Engr,CAREER: Activated carbon based nickel cathode catalysts to electrochemically produce hydrogen from wastewater,National Science Foundation,545846,
7/16/2019,Not Funded,Shao Lin,Lin,Shao,010 Environmental Health Sciences,Evaluating how neighborhood and environmental factors affect and predict the urgent care utilization and community vulnerability for opioid/alcohol abuse.,National Institutes of Health,423213,Ricky Chi Yeung Leung
7/16/2019,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,CAREER: Photo Bronsted Acid and Photo Lewis Acid Catalysis for Organic Reactions,National Science Foundation,600025,
7/16/2019,Not Funded,Weifu Wang,Wang,Weifu,010 Electrical & Comp Engr,CAREER: Constraint-based manipulation of deformable objects,National Science Foundation,604129,
7/17/2019,Not Funded,Aveek Dutta,Dutta,Aveek,010 Electrical & Comp Engr,CAREER: Deep Reinforcement Learning for Non-stationary Wireless Channels,National Science Foundation,575000,
7/17/2019,Not Funded,Chinwe Ekenna,Ekenna,Chinwe,010 Computer Science,CAREER: Exploiting Uncertainty Properties present during Robot Motion Planning making it Robust to Human-Robot Co-habitation,National Science Foundation,540291,
7/18/2019,Not Funded,Hany Elgala,Elgala,Hany,010 Electrical & Comp Engr,CAREER: Deep Learning Assisted WLAN for Integrating Battery-less Devices,National Science Foundation,567935,
7/18/2019,Not Funded,Kathleen Averett,Averett,Kathleen,010 Sociology,CAREER: Peer Relationships in Democratic Schools,National Science Foundation,582573,
7/19/2019,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Strategic Trade Control Support for Albania  Bosnia-Herzegovina (BiH)  Kosovo  and North Macedonia,US Department of State,499999,
7/19/2019,Awarded,Rachel Moody,Moody,Rachel,010 Center for International Education & Global Strategy,Southern Vietnam University Academic Advisor and High School Guidance Counselor Training  For Study in the USA,US Department of State,12211,
7/19/2019,Not Funded,Adam Gordon,Gordon,Adam,010 Anthropology,Doctoral Dissertation Research: The evolution of sex differences in mandrills (Mandrillus sphinx): Quantitative genetics of color and size dimorphism,National Science Foundation,17364,
7/19/2019,Not Funded,Amirreza Masoumzadeh-Tork,Masoumzadeh-Tork,Amirreza,010 Computer Science,CAREER: Black-Box Learning and Analysis of Fine-Grained Authorization Policies in Social Web,National Science Foundation,534265,
7/19/2019,Not Funded,Elizabeth Searing,Searing,Elizabeth,010 Center for Policy Research,CAREER: The Risks and Relevance of Nonprofit Overhead Minimization,National Science Foundation,421265,
7/19/2019,Not Funded,Matthew Szydagis,Szydagis,Matthew,010 Physics,CAREER: The Snowball Chamber  Using Supercooled Water in the Quest for Dark Matter,National Science Foundation,989744,
7/19/2019,Not Funded,Xiaobo Romeiko,Romeiko,Xiaobo,010 Environmental Health Sciences,CAREER:  Rapidly Identifying Sustainable Agricultural Supply Chains by Integrating Life Cycle Assessment  Agroecosystem Modeling  Artificial Intelligence and Optimization,National Science Foundation,516553,
7/22/2019,Awarded,Yanna Liang,Liang,Yanna,010 Envir & Sust Engr,Novel and Viable Technologies for Converting Wet Organic Waste Streams  to High Value Products,US Department of Energy,2698541,
7/22/2019,Not Funded,Lawrence Schell,Schell,Lawrence,010 Anthropology,Contexts of contemporary immunological variation and pollutant exposure: an experimental model,National Science Foundation,30829,
7/24/2019,Awarded,Mary Gallant,Gallant,Mary,Setup Business Group,Fellowship in Applied Public Health - HRI AIDS Institute,Health Research Inc,31823,
7/25/2019,Not Funded,Mohammed Agamy,Agamy,Mohammed,010 Electrical & Comp Engr,A Co-ordinated Decentralized Control and Monitoring Platform for Next Generation Smart Grids,US Department of Energy,3058318,Jeong-Hyon Hwang : Aveek Dutta
7/25/2019,Not Funded,Rixiang Huang,Huang,Rixiang,010 Envir & Sust Engr,Elucidating and enhancing the functional roles of biochar in extracellular enzyme regulation during anaerobic digestion,USDA National Institute of Food and Agriculture,497850,
7/26/2019,Awarded,Heather Senecal,Senecal,Heather,010 Center for International Development,Kenya Senate - Staff Study Tour,Parliament of Kenya,17930,
7/29/2019,Awarded,Sara Lance,Lance,Sara,010 Atmospheric Sciences Research Center,CAREER: Revitalizing aerosol-cloud-chemistry research at Whiteface Mountain during an era of chemical change characterized by high pH  water soluable organics and ammonium,National Science Foundation,683699,
7/30/2019,Not Funded,Erika Martin,Martin,Erika,010 Center for Policy Research,Barriers and Effective Strategies to Implementing Integrated HIV/STI Services,NYS Department of Health,35000,
7/30/2019,Not Funded,Robert Miller,Miller,Robert,010 School of Social Welfare,Durable Human Immunodeficiency Viral Suppression in the Lives of Black Gay Men,NYS Department of Health,34288,
7/31/2019,Awarded,Rabi Musah,Musah,Rabi,010 Chemistry,Preclinical assessment of kratom as an intervention for opioid use disorder Project Period,National Institutes of Health,88065,
8/1/2019,Not Funded,Erin Baker,Baker,Erin,010 Educational and Counseling Psychology,Understanding aggression in low-income African American children: Cognition  Physiology  and Culture,Harry Frank Guggenheim Foundation,38175,Betty Lin
8/1/2019,Not Funded,Rixiang Huang,Huang,Rixiang,010 Envir & Sust Engr,Elucidating the functional roles of biochar in exoenzyme regulation in soils,USDA National Institute of Food and Agriculture,499527,
8/1/2019,Not Funded,Yaoze Liu,Liu,Yaoze,010 Envir & Sust Engr,A decision support system for using nontraditional water sources for irrigation and implementing agricultural best management practices,USDA National Institute of Food and Agriculture,499878,
8/2/2019,Awarded,Deborah Kundert,Kundert,Deborah,010 Educational and Counseling Psychology,Center School Psychology Training Support 2019-20,Center for Disability Services,24840,
8/2/2019,Not Funded,Mariola Moeyaert,Moeyaert,Mariola,010 Educational Psych & Method,Handling methodological complexities in multilevel meta-analytic data,Institute of Education Sciences,165267,
8/2/2019,Not Funded,Tomoko Schaller,Schaller,Tomoko,Setup Business Group,Study on Police Assisted Addiction Recovery Programs,Laura and John Arnold Foundation,968074,Melissa Tracy : Christine Bozlak : Janine Jurkowski
8/6/2019,Not Funded,DeeDee Bennett,Bennett,DeeDee,010 Emergency Management,CoPE: RCN: Community Science Network for Coastal Storm Resilience,University of Florida,15858,
8/8/2019,Awarded,Mark Kuniholm,Kuniholm,Mark,010 Epidemiology & Biostatistics,Strategic training partnership to end AIDS in Georgia.,Fogarty International Center,139015,Eli Rosenberg
8/8/2019,Not Funded,David Lawrence,Lawrence,David,010 Anthropology,Relationship Between Prevalence of Autoimmunity and Toxicant Exposure in Akwesasne Women,National Institutes of Health,29922,David Lawrence : Lawrence Schell : Glenn Deane
8/8/2019,Not Funded,Elizabeth Searing,Searing,Elizabeth,010 Center for Policy Research,In-Kind Giving: Motives  Beliefs  and Behaviors,National Science Foundation,43486,
8/8/2019,Not Funded,Melinda Larsen,Larsen,Melinda,010 Biology,Angiocrine Factors in Salivary Gland Regeneration,National Institutes of Health,89874,
8/8/2019,Not Funded,Xiaobo Romeiko,Romeiko,Xiaobo,010 Environmental Health Sciences,Multi-scale Assessment of Spatially Explicit Life Cycle Greenhouse Gas Emissions and Nutrient Releases from Pastoral Production,USDA National Institute of Food and Agriculture,499824,
8/9/2019,Not Funded,Scott Miller,Miller,Scott,010 Atmospheric Sciences Research Center,3D Mesonet Observations of the Planetary Boundary Layer,NASA Headquarters,95280,David Fitzjarrald : Cheng-Hsuan Lu : Jeffrey Freedman
8/12/2019,Awarded,Joanna Dreby,Dreby,Joanna,010 Sociology,The Aftermath of Immigration Enforcement Episodes: An Exploration of the Impacts on Young Adults,Russell Sage Foundation,99188,Eunju Lee
8/12/2019,Not Funded,David Guinn,Guinn,David,010 Center for International Development,Pacific Islands Good Governance Initiative,US Department of State,3649250,
8/13/2019,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Developing Effective Licensing Procedures in EXBS Partner Countries,US Department of State,1499782,
8/13/2019,Awarded,Christopher Thorncroft,Thorncroft,Christopher,010 Atmospheric Sciences Research Center,INAUGURAL 2019 RISE CONFERENCE (Resilience Through Innovation  Sustainability & Education)  RISE 2019: Transforming the Role of Higher Education in Pre- and Post-Disaster Environments:  Lessons from Puerto Rico,National Science Foundation,8000,Sheila Bernard
8/13/2019,Not Funded,Alyssa Morey,Morey,Alyssa,010 Communication,Collaborative Research: Using ERPs to Elucidate Social Conflict Processing and Political Discussion Decisions,National Science Foundation,179994,
8/13/2019,Not Funded,Paul Miesing,Miesing,Paul,010 Management,Foodshed dynamics: Building a laboratory for understanding local food and rural prosperity through sustainable social enterprise,USDA National Institute of Food and Agriculture,491075,Luis Luna-Reyes
8/13/2019,Not Funded,Suryadipta Majumdar,Majumdar,Suryadipta,010 Info Security & Digital Forensics,CRII: SaTC: Enabling Security Auditing in IoT Networks with Application to Smart Homes,National Science Foundation,174921,
8/14/2019,Awarded,Unal Tatar,Tatar,Unal,010 Dean's Office - CEHC,CRII: SaTC: Graph-based Probabilistic Cyber Risk Modeling,National Science Foundation,175000,
8/14/2019,Not Funded,Catherine Lawson,Lawson,Catherine,010 Geography & Planning,Tompkins County Resiliency & Recovery Plan,TBD,200000,
8/15/2019,Not Funded,Mariola Moeyaert,Moeyaert,Mariola,010 Educational and Counseling Psychology,The Baby Play Program: Promoting Motor  Cognitive  and Language Outcomes for Preterm Infants through Parent Education,Institute of Education Sciences,90032,
8/16/2019,Awarded,Brian Hong-An Tang,Tang,Brian Hong-An,010 Atmospheric and Environmental Sciences,Boundary-Layer Process Associated with Rapid Intensification in Tropical Cyclones,US Navy Office of Naval Research,2145232,Robert Fovell
8/16/2019,Awarded,Eli Rosenberg,Rosenberg,Eli,010 Epidemiology & Biostatistics,Estimating the population size of persons who inject drugs in New York,National Institutes of Health,1039629,
8/16/2019,Awarded,Ryan Torn,Torn,Ryan,010 Atmospheric and Environmental Sciences,Investigating Interactions between the tropical cyclone inner core and near environment and their impacts on intensity change.,US Navy Office of Naval Research,125000,
8/16/2019,Not Funded,Kristen Corbosiero,Corbosiero,Kristen,010 Atmospheric and Environmental Sciences,Improving Intensity Forecasts through an Increased Understanding of Tropical Cyclone Inner-Core Processes,US Navy Office of Naval Research,1038974,Ryan Torn
8/19/2019,Awarded,Leonard Behr,Behr,Leonard,010 University in High School,Upstate NY JSHS 2020,National Science Teachers Association,20436,
8/20/2019,Not Funded,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Circadian rhythmicity  memory and cognitive performance,NASA Life and Biomedical Sciences,150000,
8/21/2019,Awarded,David Holtgrave,Holtgrave,David,010 Biomedical Science,GRA 6134-01 Adamek - BCI2000+: A Software Platform for Adaptive Neurotechnologies,National Inst of Biomedical Imaging and Bioenginee,56583,
8/21/2019,Awarded,David Holtgrave,Holtgrave,David,010 Environmental Health Sciences,GRA 6137-01 Kumar Pal Support for School of Public Health Students Conducting Research the Kannan Laboratory,Health Research Inc,37980,
8/23/2019,Awarded,Jennifer Burrell,Burrell,Jennifer,010 Anthropology,Collaborative Research: Evidentiary Dilemmas and Emergent Publics: How Contestations over New Geospatial Technologies are Shaping International Justice,National Science Foundation,44540,
8/26/2019,Awarded,Mary VanUllen,VanUllen,Mary,010 University Library,Coordinated Collection Development Aid 2019-2020,NYS Education Department,24636,
8/26/2019,Not Funded,Sridar Chittur,Chittur,Sridar,010 Center for Functional Genomics,Companion Diagnostic Signature for AFPep facilitates Personalized Treatment of Breast Cancer,Department of Defense (CDMRP),274639,Qishan Lin
8/27/2019,Awarded,Dina Refki,Refki,Dina,010 Center for Women in Government & Civil Society,Fellowship on Women & Public Policy,New York State Coalition Against Sexual Assault,30000,
8/27/2019,Awarded,Lani Jones,Jones,Lani,010 School of Social Welfare,Liberty Partnerships Rising Stars Program,NYS Education Department,375000,
8/28/2019,Not Funded,Alissa Worden,Worden,Alissa,Setup Business Group,New York Justice Reform,National Science Foundation,379395,James Acker
8/28/2019,Not Funded,Brandon Gorman,Gorman,Brandon,010 Sociology,Building a Foundation for Quality Research on Religion,John Templeton Foundation,70460,
8/28/2019,Not Funded,Cecilia Levy,Levy,Cecilia,010 Physics,REU Site:  Intersecting Physics and Diversity at UAlbany,National Science Foundation,368925,
8/29/2019,Not Funded,Abram Magner,Magner,Abram,010 Computer Science,A Formal Framework for Misinformation: From Trust through Logic to Inference,US Army Research Office,249484,
8/29/2019,Not Funded,Jason Bryer,Bryer,Jason,010 Educational and Counseling Psychology,Examining the Efficacy of the Diagnostic Assessment and Achievement of College Skills,Institute of Education Sciences,3299060,Heidi Andrade
8/30/2019,Awarded,Li Niu,Niu,Li,010 Chemistry,Testing RNA Aptamers and Analgesic Candidates in a Rat Model of SCI Pain,US Army Medical Research Acquisition Activity,673372,
8/30/2019,Not Funded,John Berglund,Berglund,John,010 The RNA Institute,REU Site:  Summer Undergraduate Research at the RNA Institute (SUNY @ Albany),National Science Foundation,389380,Shanise Kent
9/3/2019,Awarded,Gang Chen,Chen,Gang,010 Center for Policy Research,TaxData Enhancement,American Enterprise Institute,15000,
9/4/2019,Awarded,Eric Hardiman,Hardiman,Eric,010 School of Social Welfare,Dean's Consortium of Schools of Social Work Evidence-based Practice in Mental Health Project,NYS Office of Mental Health,6200,
9/4/2019,Awarded,Lisa Baranik,Baranik,Lisa,010 Management,EAGER: SaTC: Early-Stage Interdisciplinary Collaboration: Privacy-Preserving Mobile Data Collection for Social and Behavioral Research,National Science Foundation,112546,
9/4/2019,Not Funded,JoEllen Welsh,Welsh,JoEllen,010 Environmental Health Sciences,Targeting gamma-carboxylation in breast cancer,Department of Defense (CDMRP),767642,
9/4/2019,Not Funded,Rebecca DeVaux,DeVaux,Rebecca,010 Biomedical Science,BHLHE40-AS1 as a functional driver of breast cancer invasion,Department of Defense (CDMRP),792477,
9/5/2019,Not Funded,Jason Herschkowitz,Herschkowitz,Jason,010 Biomedical Science,Influence of Epigenetics in Racial Disparities in Triple Negative Breast Cancer:  Role of Clusters of Enhancers and Associated LncRNAs,Department of Defense (CDMRP),632843,Murat Yucel
9/5/2019,Not Funded,Lance Bosart,Bosart,Lance,010 Atmospheric and Environmental Sciences,THINICE: Diagnostic Studies of the Roles of Dynamical and Diabatic Processes on the Evolution of Arctic Cyclones,National Science Foundation,600000,Daniel Keyser
9/6/2019,Not Funded,Charalampos Chelmis,Chelmis,Charalampos,010 Computer Science,SCC-IRG Track 2: OpeningDoors: Empowering Refugees through a Smart SocioTechnical Infrastructure,National Science Foundation,1487751,Wonhyung Lee : Daphney-Stavroula Zois : Lisa Baranik
9/6/2019,Not Funded,Md Aynul Bari,Bari,Md Aynul,010 Envir & Sust Engr,SCC-PG: Promoting sustainable indoor and outdoor air quality through integrative research and community engagement,National Science Foundation,149596,Cynthia Najdowski : Aveek Dutta
9/6/2019,Not Funded,Petko Bogdanov,Bogdanov,Petko,010 Computer Science,SCC-IRG Track 1: DATAg: From Practices to Footprint and Back: Data-driven and user-aware process models and sensing infrastructure for agricultural footprint and productivity.,National Science Foundation,2364484,Mariya Zheleva : Xiaobo Romeiko : Teresa Harrison : Fan Yang
9/11/2019,Awarded,Liming Zhou,Zhou,Liming,010 Atmospheric and Environmental Sciences,Dynamic and thermodynamic mechanisms of desert amplification in a warming climate,National Science Foundation,696071,Brian Rose
9/12/2019,Not Funded,Kristen Corbosiero,Corbosiero,Kristen,010 Atmospheric and Environmental Sciences,Analyzing Tropical Cyclones Interacting with Upper-Tropospheric Troughs using NASA Field Campaign Data,NASA Earth Science Enterprise,318768,Brian Hong-An Tang
9/12/2019,Not Funded,Kyoung-Yeol Kim,Kim,Kyoung-Yeol,010 Envir & Sust Engr,Energy-efficient perfluoroalkyl substances (PFAS) removal in landfill leachate using a novel electrocoagulation with air-cathode,Environmental Research and Education Foundation,287000,
9/13/2019,Awarded,Donald Boyd,Boyd,Donald,010 Center for Policy Research,Public Pension Risk-Sharing: A Policy Guidebook,Laura and John Arnold Foundation,202706,Gang Chen
9/13/2019,Awarded,Gary Ackerman,Ackerman,Gary,010 Dean's Office - CEHC,Integrated Discovery of Emerging and Novel Technologies (Yr 2),Defense Threat Reduction Agency,50009,
9/13/2019,Not Funded,Christopher Thorncroft,Thorncroft,Christopher,010 Atmospheric Sciences Research Center,African Easterly Wave Interactions with the Eastern North Atlantic Environment using GEOS5 and NASA's In-situ Field and Satellite-based Observations,NASA Headquarters,503281,
9/13/2019,Not Funded,Cuicui Chen,Chen,Cuicui,010 Economics,Technology Cooperation or technology collusion: the case of German automakers,Fritz Thyssen Stiftung,68739,
9/16/2019,Not Funded,Kara Sulia,Sulia,Kara,010 Atmospheric Sciences Research Center,Environmental and Dynamic Controls on Riming and Aggregation: A Novel Application of NASA Field Campaign Data using a Multi-Faceted Modeling Approach,NASA Earth Science Enterprise,545008,
9/16/2019,Not Funded,Qilong Min,Min,Qilong,010 Atmospheric Sciences Research Center,Understanding winter storms over complex terrain through GPM and NYS Mesonet,NASA Earth Science Enterprise,380369,
9/17/2019,Awarded,Nicholas Bassill,Bassill,Nicholas,010 Atmospheric Sciences Research Center,NY Statewide Localized Weather Risk Assessment Tool,Capital Region BOCES,15000,
9/17/2019,Not Funded,Unal Tatar,Tatar,Unal,010 Emergency Management,Supply Chain Cyber Risk Analysis,Washington Headquarters Acquisition Directorate,120000,
9/19/2019,Awarded,Cecilia Levy,Levy,Cecilia,010 Physics,LUX-ZEPLIN Operations,"Regents of the University of California, Lawrence Berkeley National Laboratory",53109,
9/19/2019,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,Diagnosis of oncogenic signaling pathways and their switching in single tumor cells,National Institutes of Health,100000,
9/23/2019,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Legal-Regulatory Assistance and Consultations for EXBS Partners,US Department of State,1199610,
9/23/2019,Awarded,Camille Barnes,Barnes,Camille,010 Center for Human Services Research,New York State Systems of Care-- NYS (OMH) 19-20,Research Foundation for Mental Hygiene,453541,Rose Greene
9/23/2019,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,Data Management and Evaluation of Prevention Programs,NYS Office of Children and Family Services,125000,
9/23/2019,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,Evaluation of New York State's Home Visiting Program,NYS Office of Children and Family Services,1791473,
9/23/2019,Awarded,Rose Greene,Greene,Rose,010 Center for Human Services Research,National Youth in Transition Database,NYS Office of Children and Family Services,292096,
9/23/2019,Not Funded,Bryan Early,Early,Bryan,010 Center for Policy Research,UN Sanctions Implementation Manual and Outreach,US Department of State,421282,
9/24/2019,Awarded,Penghang Yin,Yin,Penghang,010 Mathematics & Statistics,Collaborative Research: Robust  Accurate and Efficient Graph-Structured RNN for Spatio-Temporal Forecasting and Anomaly Detection,National Science Foundation,54057,
9/24/2019,Awarded,Veronica Perez Rodriguez,Perez Rodriguez,Veronica,010 Anthropology,CNH2 grant with Arthur Joyce UCBoulder,National Science Foundation,426477,
9/25/2019,Not Funded,Gabriele Fuchs,Fuchs,Gabriele,010 Biology,Molecular Mechanism of Human Translation,National Institutes of Health,870675,
9/26/2019,Not Funded,Marco Varisco,Varisco,Marco,010 Mathematics & Statistics,Homotopy Theoretic Methods for Assembly Maps in Algebraic K-Theory,Simons Foundation,106325,
9/27/2019,Not Funded,Hyun-kyoung Kwon,Kwon,Hyun-kyoung,010 Mathematics & Statistics,On Operator Equivalence- the Quest for a complete Similarity Invariant,National Science Foundation,328978,
9/27/2019,Not Funded,Jason Herschkowitz,Herschkowitz,Jason,010 Biomedical Science,Influence of Epigenetics in Racial Disparities in Triple Negative Breast Cancer: Role of Clusters of Enhancers and Associated LncRNAs,NYS Department of Health,349389,Murat Yucel
9/27/2019,Not Funded,Joanna Workman,Workman,Joanna,010 Biology,Effects of adolescent alcohol exposure on maternal adaptations,National Institutes of Health,69525,
9/30/2019,Awarded,Carolyn MacDonald,MacDonald,Carolyn,010 Physics,Nano 3D printing of capillary optics,US Department of Energy,29999,
9/30/2019,Awarded,Evgeny Dikarev,Dikarev,Evgeny,010 Chemistry,Synthetic Approaches to Heterotrimetallic Molecular Precursors with Specific Metal Ratios for the Target Materials,National Science Foundation,457419,
9/30/2019,Awarded,Sara Lance,Lance,Sara,010 Atmospheric Sciences Research Center,Collaborative: Chemistry in the Arctic: Clouds  Halogens  and Aerosols (CHACHA) Field Campaign,National Science Foundation,405644,
9/30/2019,Awarded,Weifu Wang,Wang,Weifu,010 Electrical & Comp Engr,Collaborative Research: RI: Medium: Robust Assembly of Compliant Modular Robots (2019),National Science Foundation,271926,
9/30/2019,Not Funded,John Welch,Welch,John,010 Chemistry,Tetra Fluoro Sulfanyl - Containing Compounds,National Science Foundation,464315,
9/30/2019,Not Funded,Maria delos milagros Gasco-Hernandez,Gasco-Hernandez,Maria delos milagros,010 Center for Technology in Government,EiR: Analyzing and Adressing Impacts of Digital Divide on the Participation of African American Students in STEM Undergraduate Education,National Science Foundation,298589,
9/30/2019,Not Funded,Siwei Lyu,Lyu,Siwei,010 Computer Science,RI: Medium: Collaborative Research: Comprehensive Detection of Video Forgery,National Science Foundation,260006,
9/30/2019,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,Stereoselective glycosylation enabled by tunable photoacid catalysis.,National Science Foundation,599962,
10/2/2019,Awarded,Qiang Zhang,Zhang,Qiang,010 Chemistry,The chemical approach towards homogenous glycoprotein preparation and evaluation,National Institute of General Medical Sciences,1834898,
10/2/2019,Awarded,Richard Perez,Perez,Richard,010 Atmospheric Sciences Research Center,An Hourly Surface Solar Resource Climatology over Canada from a Multi-Spectral  Multi-Satellite Composite Analysis,Natural Resources Canada,75002,
10/2/2019,Not Funded,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Astrocyte control of hippocampal timekeeping,National Institutes of Health,1891207,
10/2/2019,Not Funded,Jia Sheng,Sheng,Jia,010 Chemistry,Uncovering Nature's Strategies to Diversify RNA Structures and Functions,National Institute of General Medical Sciences,1980877,
10/3/2019,Not Funded,Morgan Sammons,Sammons,Morgan,010 Biology,Defining cis-regulatory networks controlling a core stress response,National Institutes of Health,1878681,
10/3/2019,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,glycosylation of peptide and protein catalyzed by transition metal and glycal,National Science Foundation,500000,
10/3/2019,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,New Glycosylation reaction by Organic Photocatalysis,National Institutes of Health,1692254,
10/4/2019,Not Funded,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Androgen regulation of stress-related behaviors and the HPA axis.,National Institutes of Health,1884064,
10/7/2019,Not Funded,Brian Nussbaum,Nussbaum,Brian,010 Emergency Management,Remote Environment Vulnerabilities to the Internet of Things (REV-IoT):  Horizon Scanning for Insight into Arctic IoT Risk,US Department of Homeland Security,198426.47,Unal Tatar : Benjamin Yankson
10/7/2019,Not Funded,Maksim Royzen,Royzen,Maksim,010 Chemistry,Bio-orthogonal strategy for in vivo activation of anticancer prodrugs using a reloadable hydrogel.,National Institutes of Health,1881076,
10/7/2019,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,Photo Bronsted acid and photo Lewis acid catalysis for organic synthesis,National Institutes of Health,1833518,
10/9/2019,Awarded,Chris Papas,Papas,Chris,010 Center for Human Services Research,On-Line Michigan Licenses Contract One,Michigan Public Health Institute,25000,Rose Greene
10/9/2019,Awarded,Chris Papas,Papas,Chris,010 Center for Human Services Research,On-Line Michigan Licenses Contract Two,Michigan Public Health Institute,10000,Rose Greene
10/9/2019,Not Funded,Changlong Zhong,Zhong,Changlong,010 Mathematics & Statistics,Equivariant oriented cohomology of flag varieties,National Science Foundation,135833,
10/10/2019,Awarded,Nicholas Bassill,Bassill,Nicholas,010 Atmospheric Sciences Research Center,NY DOT Weather Risk Assessment Tool,NYS Department of Transportation,49000,
10/10/2019,Not Funded,Lifeng Zhou,Zhou,Lifeng,010 The RNA Institute,Mechanically Tunable Nucleic Acid-based Nanostructures for Drug Delivery,National Institutes of Health,1011960,
10/15/2019,Awarded,Aaron Major,Major,Aaron,010 Sociology,The Power Elite in the Twenty-First Century: Ideas  Discourses  and China Policy,National Science Foundation,15461,Zhifan Luo
10/15/2019,Not Funded,Alex Valm,Valm,Alex,010 Biology,Engineering oral biofilm communities to promote cardiovascular health,American Heart Association Incorporated,231000,
10/15/2019,Not Funded,Alex Valm,Valm,Alex,010 Biology,Microbiome structure and assembly across scales,National Institutes of Health,1875107,
10/15/2019,Not Funded,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Circadian modulation of excitatory transmission in the aging and AD hippocampus,BrightFocus Foundation,300000,
10/15/2019,Not Funded,Haijun Chen,Chen,Haijun,010 Biology,Dynamic resting potential of macrophages and osteoclasts,National Institutes of Health,424875,
10/16/2019,Awarded,Morgan Sammons,Sammons,Morgan,010 Biology,Cis-regulation and chromatin dynamics in the p53 network,National Institutes of Health,1875294,
10/16/2019,Not Funded,Alex Greer,Greer,Alex,010 Emergency Management,Collaborative Research: The dynamics of place attachment in residential adjustment: An explanatory  embedded case study approach following the 2017-18 California wildfires,National Science Foundation,316229,
10/16/2019,Not Funded,Maksim Royzen,Royzen,Maksim,010 Chemistry,Development of Methodology for Site-Specific Labeling of Ribosomal RNA.,National Institutes of Health,421748,Gabriele Fuchs
10/16/2019,Not Funded,Michael Bloom,Bloom,Michael,010 Environmental Health Sciences,Hormonal Mediators of Racial Disparities Associated with Maternal Exposure to Phthalate Diesters in a Southeastern U.S. Community,National Institutes of Health,162784,Edward Valachovic
10/16/2019,Not Funded,Tse-Chuan Yang,Yang,Tse-Chuan,010 Sociology,Investigating the dynamics of neighborhood effects on health with a genetically informed approach,Eunice Kennedy Shriver National Institute of Child Health & Human Dev,406364,
10/16/2019,Not Funded,Zhang Wang,Wang,Zhang,010 Chemistry,Organic Synthesis Using Alternating Current,National Institutes of Health,424419,
10/17/2019,Not Funded,Jason Herschkowitz,Herschkowitz,Jason,010 Biomedical Science,LncRNA-mediated inflammation in breast cancer development and progression,National Cancer Institute,1884015,Murat Yucel
10/18/2019,Not Funded,Kaalak Reddy,Reddy,Kaalak,010 Biology,Functional consequences of inosine misincorporation into the transcriptome during development - R03,National Institutes of Health,154500,
10/18/2019,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,Development of site-specific protein modification technology,National Institute of General Medical Sciences,405698,
10/21/2019,Awarded,James Dias,Dias,James,010 Biomedical Science,Comparability Exercise V06: Comparison of Bemfola Drug Preparations  EU and South Korean Gonal-f Reference Products,Polymun Scientific,106347,
